TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
TOILETTES;;SQUARE MONSEIGNEUR MAILLET;75019;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-du-regard-de-la-lanterne-2677;"{""coordinates"": [[2.3931583796208193, 48.87669393738172]], ""type"": ""MultiPoint""}";48.87669393738172, 2.3931583796208193
TOILETTES;;SQUARE CLAUDE BERNARD;75019;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-claude-bernard-2682;"{""coordinates"": [[2.3744646190808827, 48.89925173270559]], ""type"": ""MultiPoint""}";48.89925173270559, 2.3744646190808827
TOILETTES;;JARDINS DES CHAMPS ELYSEES;75008;Voir fiche équipement;Oui;;;"{""coordinates"": [[2.312433694953087, 48.86958033266654]], ""type"": ""MultiPoint""}";48.86958033266654, 2.312433694953087
TOILETTES;;PARC CLICHY-BATIGNOLLES - MARTIN LUTHER KING;75017;Voir fiche équipement;Oui;;;"{""coordinates"": [[2.3144877004250732, 48.89161847331643]], ""type"": ""MultiPoint""}";48.89161847331643, 2.3144877004250732
WC PUBLICS PERMANENTS;;Sous le pont Louis Philippe;75004;;Non;;;"{""coordinates"": [[2.3546443935860903, 48.85420227463655]], ""type"": ""MultiPoint""}";48.85420227463655, 2.3546443935860903
LAVATORY;;place de la Madeleine;75008;10h/18h;;;;"{""coordinates"": [[2.324805261449435, 48.86950302299618]], ""type"": ""MultiPoint""}";48.86950302299618, 2.324805261449435
SANISETTE;;76  RUE BRANCION;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3027334854194716, 48.831929561343095]], ""type"": ""MultiPoint""}";48.831929561343095, 2.3027334854194716
SANISETTE;;83  RUE DESNOUETTES;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.284141147850317, 48.83462852331888]], ""type"": ""MultiPoint""}";48.83462852331888, 2.284141147850317
SANISETTE;;364  RUE LECOURBE;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2816918169238023, 48.836240943584]], ""type"": ""MultiPoint""}";48.836240943584, 2.2816918169238023
SANISETTE;;face au 1 AVENUE EMILE ET ARMAND MASSARD;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2975700464693, 48.88888267432094]], ""type"": ""MultiPoint""}";48.88888267432094, 2.2975700464693
SANISETTE;;6  RUE DE PANAMA;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3527514783672197, 48.8876267763751]], ""type"": ""MultiPoint""}";48.8876267763751, 2.3527514783672197
SANISETTE;;opposé au 35 RUE BOINOD;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3517628650661626, 48.89413005564073]], ""type"": ""MultiPoint""}";48.89413005564073, 2.3517628650661626
SANISETTE;;69  AVENUE DE FLANDRE;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.3739240719106323, 48.88869536274599]], ""type"": ""MultiPoint""}";48.88869536274599, 2.3739240719106323
SANISETTE;;9  AVENUE DE LA PORTE DE LA VILLETTE;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.3867747839866085, 48.89897483997506]], ""type"": ""MultiPoint""}";48.89897483997506, 2.3867747839866085
SANISETTE;;64  RUE DU VOLGA;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.408988707402609, 48.85271966367164]], ""type"": ""MultiPoint""}";48.85271966367164, 2.408988707402609
